Accession,Collection_Date
MT049951,2020-01-17
MT019531,2019-12-30
MT019529,2019-12-23
MT007544,2020-01-25
MN996528,2019-12-30
MN975262,2020-01-11
MT019532,2019-12-30
MT019530,2019-12-30
MN994468,2020-01-22
MT019533,2020-01-01
MN985325,2020-01-19
MT044257,2020-01-28
MT027064,2020-01-29
MT027062,2020-01-29
MN994467,2020-01-23
MT020881,2020-01-25
MN997409,2020-01-22
MT020880,2020-01-25
MN988713,2020-01-21
MT027063,2020-01-29
MT039888,2020-01-29
MN988669,2020-01-02
MN988668,2020-01-02
MT039887,2020-01-31
MT066176,2020-02-05
MT066175,2020-01-31
MT044258,2020-01-27
MN996531,2019-12-30
MN996530,2019-12-30
MN996529,2019-12-30
MT020781,2020-01-29
MN938384,2020-01-10
MT039873,2020-01-20
MN996527,2019-12-30
MT072688,2020-01-13
