study_accession	experiment_accession	experiment_title	experiment_desc	organism_taxid 	organism_name	library_strategy	library_source	library_selection	sample_accession	sample_title	instrument	total_spots	total_size	run_accession	run_total_spots	run_total_bases
SRP242169	SRX7570458	Human:NPS	Human:NPS	2697049	Wuhan seafood market pneumonia virus	RNA-Seq	METAGENOMIC	RANDOM	SRS6014638		MinION	261890	82541246	SRR10902284	261890	90569410
SRP242226	SRX7571571	Total RNA sequencing of BALF (human reads removed)	Total RNA sequencing of BALF (human reads removed)	9606	Homo sapiens	RNA-Seq	METATRANSCRIPTOMIC	RANDOM	SRS6007144		Illumina MiSeq	476632	72426963	SRR10903401	476632	143565674
SRP242226	SRX7571570	Total RNA sequencing of BALF (human reads removed)	Total RNA sequencing of BALF (human reads removed)	9606	Homo sapiens	RNA-Seq	METATRANSCRIPTOMIC	RANDOM	SRS6007143		Illumina MiSeq	676694	104687344	SRR10903402	676694	203832203
SRP242169	SRX7615553	Sequencing of Betacoronavirus	Sequencing of Betacoronavirus	2697049	Wuhan seafood market pneumonia virus	RNA-Seq	GENOMIC	RANDOM	SRS6048919		MinION	505484	262201551	SRR10948474	505484	284575255
SRP242169	SRX7615629	Whole genome sequencing of BetaCoronavirus	Whole genome sequencing of BetaCoronavirus	2697049	Wuhan seafood market pneumonia virus	RNA-Seq	GENOMIC	RANDOM	SRS6014638		MinION	425717	132697821	SRR10948550	425717	146271136
SRP245409	SRX7636886	Complete genome of a novel coronavirus associated with severe human respiratory disease in Wuhan, China	Complete genome of a novel coronavirus associated with severe human respiratory disease in Wuhan, China	433733	human lung metagenome	RNA-Seq	METATRANSCRIPTOMIC	RANDOM	SRS6067521		Illumina MiniSeq	28282964	2743427127	SRR10971381	28282964	8031043214
SRP248092	SRX7705838	2019 novel coronavirus RNA-seq sequences mapped to reference genome MN908947.3	2019 novel coronavirus RNA-seq sequences mapped to reference genome MN908947.3	2697049	Severe acute respiratory syndrome coronavirus 2	RNA-Seq	METATRANSCRIPTOMIC	RT-PCR	SRS6129666		Illumina HiSeq 2500	76740	2158046	SRR11059940	76740	8325534
SRP248092	SRX7705837	2019 novel coronavirus RNA-seq sequences mapped to reference genome MN908947.3	2019 novel coronavirus RNA-seq sequences mapped to reference genome MN908947.3	2697049	Severe acute respiratory syndrome coronavirus 2	RNA-Seq	METATRANSCRIPTOMIC	RT-PCR	SRS6129665		Illumina HiSeq 2500	13048	893803	SRR11059941	13048	1477468
SRP248092	SRX7705836	2019 novel coronavirus RNA-seq sequences mapped to reference genome MN908947.3	2019 novel coronavirus RNA-seq sequences mapped to reference genome MN908947.3	2697049	Severe acute respiratory syndrome coronavirus 2	RNA-Seq	METATRANSCRIPTOMIC	RT-PCR	SRS6129664		Illumina HiSeq 2500	1974638	49376270	SRR11059942	1974638	212641182
SRP248092	SRX7705835	2019 novel coronavirus RNA-seq sequences mapped to reference genome MN908947.3	2019 novel coronavirus RNA-seq sequences mapped to reference genome MN908947.3	2697049	Severe acute respiratory syndrome coronavirus 2	RNA-Seq	METATRANSCRIPTOMIC	RT-PCR	SRS6129663		Illumina HiSeq 2500	182228	5973682	SRR11059943	182228	19977094
SRP248092	SRX7705834	2019 novel coronavirus RNA-seq sequences mapped to reference genome MN908947.3	2019 novel coronavirus RNA-seq sequences mapped to reference genome MN908947.3	2697049	Severe acute respiratory syndrome coronavirus 2	RNA-Seq	METATRANSCRIPTOMIC	RT-PCR	SRS6129662		Illumina HiSeq 2500	1012571	42379609	SRR11059944	1012571	134313125
SRP248092	SRX7705833	2019 novel coronavirus RNA-seq sequences mapped to reference genome MN908947.3	2019 novel coronavirus RNA-seq sequences mapped to reference genome MN908947.3	2697049	Severe acute respiratory syndrome coronavirus 2	RNA-Seq	METATRANSCRIPTOMIC	RT-PCR	SRS6129661		Illumina HiSeq 2500	186576	9286674	SRR11059945	186576	24513827
SRP248092	SRX7705832	2019 novel coronavirus RNA-seq sequences mapped to reference genome MN908947.3	2019 novel coronavirus RNA-seq sequences mapped to reference genome MN908947.3	2697049	Severe acute respiratory syndrome coronavirus 2	RNA-Seq	METATRANSCRIPTOMIC	RT-PCR	SRS6129660		Illumina HiSeq 2500	5247615	219591039	SRR11059946	5247615	726432925
SRP248092	SRX7705831	2019 novel coronavirus RNA-seq sequences mapped to reference genome MN908947.3	2019 novel coronavirus RNA-seq sequences mapped to reference genome MN908947.3	2697049	Severe acute respiratory syndrome coronavirus 2	RNA-Seq	METATRANSCRIPTOMIC	RT-PCR	SRS6129659		Illumina HiSeq 2500	66043074	2356905142	SRR11059947	66043074	8728641275
SRP250294	SRX7777166	SARS-CoV-2 veroSTAT-1KO_illumina	SARS-CoV-2 veroSTAT-1KO_illumina	2697049	Wuhan seafood market pneumonia virus	WGS	METAGENOMIC	RANDOM PCR	SRS6189924		Illumina MiSeq	503344	108481864	SRR11140744	503344	226957916
SRP250294	SRX7777165	SARS-CoV-2 veroSTAT-1KO_ONT	SARS-CoV-2 veroSTAT-1KO_ONT	2697049	Wuhan seafood market pneumonia virus	WGS	METAGENOMIC	RANDOM PCR	SRS6189920		GridION	396363	240280298	SRR11140745	396363	260956833
SRP250294	SRX7777164	SARS-CoV-2 veroE6_illumina	SARS-CoV-2 veroE6_illumina	2697049	Wuhan seafood market pneumonia virus	WGS	METAGENOMIC	RANDOM PCR	SRS6189919		Illumina MiSeq	358971	77997568	SRR11140746	358971	159508570
SRP250294	SRX7777163	SARS-CoV-2 veroE6_ONT	SARS-CoV-2 veroE6_ONT	2697049	Wuhan seafood market pneumonia virus	WGS	METAGENOMIC	RANDOM PCR	SRS6189917		GridION	566845	332198738	SRR11140747	566845	359000999
SRP250294	SRX7777162	SARS-CoV-2 vero76_illumina	SARS-CoV-2 vero76_illumina	2697049	Wuhan seafood market pneumonia virus	WGS	METAGENOMIC	RANDOM PCR	SRS6189918		Illumina MiSeq	421395	92488120	SRR11140748	421395	190194752
SRP250294	SRX7777161	SARS-CoV-2 vero76_ONT	SARS-CoV-2 vero76_ONT	2697049	Wuhan seafood market pneumonia virus	WGS	METAGENOMIC	RANDOM PCR	SRS6189916		GridION	482954	280564726	SRR11140749	482954	304113442
SRP250294	SRX7777160	SARS-CoV-2 swab_illumina	SARS-CoV-2 swab_illumina	2697049	Wuhan seafood market pneumonia virus	WGS	METAGENOMIC	RANDOM PCR	SRS6189914		Illumina MiSeq	17657	3824341	SRR11140750	17657	7650166
SRP250294	SRX7777159	SARS-CoV-2 swab_ONT	SARS-CoV-2 swab_ONT	2697049	Wuhan seafood market pneumonia virus	WGS	METAGENOMIC	RANDOM PCR	SRS6189915		GridION	37999	21841904	SRR11140751	37999	23696161
SRP250653	SRX7798477	RNA-Seq of Severe acute respiratory syndrome coronavirus 2: adult male throat swab	RNA-Seq of Severe acute respiratory syndrome coronavirus 2: adult male throat swab	2697049	Severe acute respiratory syndrome coronavirus 2	RNA-Seq	GENOMIC	RT-PCR	SRS6213494		Illumina MiSeq	5246584	1293360832	SRR11177792	5246584	2817120987
SRP250661	SRX7798736	WGS of Coronavirus:clinical sample	WGS of Coronavirus:clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	WGS	GENOMIC	RANDOM	SRS6213613		MinION	359570	142622435	SRR11178050	359570	156951923
