run_accession	study_accession
SRR12336747	PRJNA649101
SRR12336758	PRJNA649101
SRR12336769	PRJNA649101
SRR12336780	PRJNA649101
SRR12336791	PRJNA649101
SRR12336802	PRJNA649101
SRR12336813	PRJNA649101
SRR12336820	PRJNA649101
SRR12336821	PRJNA649101
SRR12336822	PRJNA649101
SRR12336823	PRJNA649101
SRR12336824	PRJNA649101
SRR12336825	PRJNA649101
SRR12336826	PRJNA649101
SRR12336827	PRJNA649101
SRR12336828	PRJNA649101
SRR12336829	PRJNA649101
SRR12336830	PRJNA649101
SRR12336831	PRJNA649101
SRR12336832	PRJNA649101
SRR12336833	PRJNA649101
SRR12336834	PRJNA649101
SRR12336835	PRJNA649101
SRR12336836	PRJNA649101
SRR12447360	PRJNA650037
SRR12447361	PRJNA650037
SRR12447362	PRJNA650037
SRR12447363	PRJNA650037
SRR12447365	PRJNA650037
SRR12447366	PRJNA650037
SRR12447367	PRJNA650037
SRR12447368	PRJNA650037
SRR12447369	PRJNA650037
SRR12447370	PRJNA650037
SRR12447371	PRJNA650037
SRR12447372	PRJNA650037
SRR12447373	PRJNA650037
SRR12447374	PRJNA650037
SRR12447376	PRJNA650037
SRR12447377	PRJNA650037
SRR12447378	PRJNA650037
SRR12447379	PRJNA650037
SRR12447380	PRJNA650037
SRR12447381	PRJNA650037
SRR12447382	PRJNA650037
SRR12447383	PRJNA650037
SRR12447384	PRJNA650037
SRR12447385	PRJNA650037
SRR12447413	PRJNA650037
SRR12447414	PRJNA650037
SRR12447415	PRJNA650037
SRR12447416	PRJNA650037
SRR12447417	PRJNA650037
SRR12447419	PRJNA650037
SRR12447420	PRJNA650037
SRR12447421	PRJNA650037
SRR12447422	PRJNA650037
SRR12447423	PRJNA650037
SRR12447424	PRJNA650037
SRR12447425	PRJNA650037
SRR12447426	PRJNA650037
SRR12447427	PRJNA650037
SRR12447428	PRJNA650037
SRR12447430	PRJNA650037
SRR12447431	PRJNA650037
SRR12447432	PRJNA650037
SRR12447433	PRJNA650037
SRR12447434	PRJNA650037
SRR12447435	PRJNA650037
SRR12447436	PRJNA650037
SRR12447437	PRJNA650037
SRR12447438	PRJNA650037
SRR12447439	PRJNA650037
SRR12447441	PRJNA650037
SRR12447442	PRJNA650037
SRR12447443	PRJNA650037
SRR12447444	PRJNA650037
SRR12447445	PRJNA650037
SRR12447446	PRJNA650037
SRR12447447	PRJNA650037
SRR12447448	PRJNA650037
SRR12447449	PRJNA650037
SRR12447450	PRJNA650037
SRR12447452	PRJNA650037
SRR12447453	PRJNA650037
SRR12447454	PRJNA650037
SRR12447455	PRJNA650037
SRR12447456	PRJNA650037
SRR12447457	PRJNA650037
SRR12447458	PRJNA650037
SRR12447459	PRJNA650037
SRR12447460	PRJNA650037
SRR12447461	PRJNA650037
SRR12447463	PRJNA650037
SRR12447464	PRJNA650037
SRR12447465	PRJNA650037
SRR12447466	PRJNA650037
SRR12447467	PRJNA650037
SRR12447468	PRJNA650037
SRR12447469	PRJNA650037
SRR12447470	PRJNA650037
SRR12447471	PRJNA650037
SRR12447472	PRJNA650037
SRR12447476	PRJNA650037
SRR12447477	PRJNA650037
SRR12447478	PRJNA650037
SRR12447479	PRJNA650037
SRR12447480	PRJNA650037
SRR12447481	PRJNA650037
SRR12447482	PRJNA650037
SRR12447483	PRJNA650037
SRR12447484	PRJNA650037
SRR12447485	PRJNA650037
SRR12447487	PRJNA650037
SRR12447488	PRJNA650037
SRR12447489	PRJNA650037
SRR12447490	PRJNA650037
SRR12447491	PRJNA650037
SRR12447492	PRJNA650037
SRR12447493	PRJNA650037
SRR12447494	PRJNA650037
SRR12447495	PRJNA650037
SRR12447496	PRJNA650037
SRR12447498	PRJNA650037
SRR12447499	PRJNA650037
SRR12447500	PRJNA650037
SRR12447501	PRJNA650037
SRR12447502	PRJNA650037
SRR12447503	PRJNA650037
SRR12447504	PRJNA650037
SRR12447505	PRJNA650037
SRR12447506	PRJNA650037
SRR12447507	PRJNA650037
SRR12447509	PRJNA650037
SRR12447510	PRJNA650037
SRR12447511	PRJNA650037
SRR12447512	PRJNA650037
SRR12447513	PRJNA650037
SRR12447514	PRJNA650037
SRR12480469	PRJNA650037
SRR12480471	PRJNA650037
SRR12480473	PRJNA650037
SRR12480474	PRJNA650037
SRR12480475	PRJNA650037
SRR12480476	PRJNA650037
SRR12480477	PRJNA650037
SRR12480478	PRJNA650037
SRR12480479	PRJNA650037
SRR12480480	PRJNA650037
SRR12480481	PRJNA650037
SRR12480482	PRJNA650037
SRR12480484	PRJNA650037
SRR12480485	PRJNA650037
SRR12480486	PRJNA650037
SRR12480487	PRJNA650037
SRR12480488	PRJNA650037
SRR12480489	PRJNA650037
SRR12480490	PRJNA650037
SRR12480491	PRJNA650037
SRR12480492	PRJNA650037
SRR12480493	PRJNA650037
SRR12480494	PRJNA650037
SRR12480495	PRJNA650037
SRR12480496	PRJNA650037
SRR12480497	PRJNA650037
SRR12480498	PRJNA650037
SRR12480499	PRJNA650037
SRR12480500	PRJNA650037
SRR12480501	PRJNA650037
SRR12480502	PRJNA650037
SRR12480503	PRJNA650037
SRR12480504	PRJNA650037
SRR12480505	PRJNA650037
SRR12480506	PRJNA650037
SRR12480507	PRJNA650037
SRR12480508	PRJNA650037
SRR12480509	PRJNA650037
SRR12480510	PRJNA650037
SRR12480511	PRJNA650037
SRR12480512	PRJNA650037
SRR12480513	PRJNA650037
SRR12480514	PRJNA650037
SRR12480515	PRJNA650037
SRR12480516	PRJNA650037
SRR12480517	PRJNA650037
SRR12480518	PRJNA650037
SRR12480519	PRJNA650037
SRR12480520	PRJNA650037
SRR12480521	PRJNA650037
SRR12480522	PRJNA650037
SRR12480523	PRJNA650037
SRR12480524	PRJNA650037
SRR12480525	PRJNA650037
SRR12480526	PRJNA650037
SRR12480528	PRJNA650037
SRR12480529	PRJNA650037
SRR12480530	PRJNA650037
SRR12480531	PRJNA650037
SRR12480532	PRJNA650037
SRR12480533	PRJNA650037
SRR12480534	PRJNA650037
SRR12480535	PRJNA650037
SRR12480536	PRJNA650037
SRR12480537	PRJNA650037
SRR12480539	PRJNA650037
SRR12480540	PRJNA650037
SRR12480541	PRJNA650037
SRR12480542	PRJNA650037
SRR12480543	PRJNA650037
SRR12480544	PRJNA650037
SRR12480545	PRJNA650037
SRR12480546	PRJNA650037
SRR12480547	PRJNA650037
SRR12480548	PRJNA650037
SRR12480550	PRJNA650037
SRR12480551	PRJNA650037
SRR12480552	PRJNA650037
SRR12480553	PRJNA650037
SRR12480554	PRJNA650037
SRR12480555	PRJNA650037
