run_accession	study_accession
SRR11140745	PRJNA607948
SRR11140747	PRJNA607948
SRR11140749	PRJNA607948
SRR11140751	PRJNA607948
SRR11178050	PRJNA608242
SRR11178051	PRJNA608242
SRR11178052	PRJNA608242
SRR11178053	PRJNA608242
SRR11178054	PRJNA608242
SRR11178055	PRJNA608242
SRR11178056	PRJNA608242
SRR11178057	PRJNA608242
SRR11393271	PRJNA614504
SRR11393272	PRJNA614504
SRR11393273	PRJNA614504
SRR11393274	PRJNA614504
SRR11586701	PRJNA627286
SRR11586702	PRJNA627286
SRR11586703	PRJNA627286
SRR11586704	PRJNA627286
SRR11586705	PRJNA627286
SRR11593367	PRJNA627229
SRR12109250	PRJNA642869
SRR12109251	PRJNA642869
SRR12109252	PRJNA642869
SRR12109253	PRJNA642869
SRR12109254	PRJNA642869
SRR12109255	PRJNA642869
SRR12277390	PRJNA643530
SRR12277391	PRJNA643530
SRR12277392	PRJNA643530
SRR12486810	PRJNA623797
