study_accession	experiment_accession	experiment_title	experiment_desc	organism_taxid 	organism_name	library_strategy	library_source	library_selection	sample_accession	sample_title	instrument	total_spots	total_size	run_accession	run_total_spots	run_total_bases
SRP256957	SRX8213970	Amplicon-based sequencing of SARS-CoV-2: VA-DCLS-0107	Amplicon-based sequencing of SARS-CoV-2: VA-DCLS-0107	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	cDNA	SRS6573173		Illumina MiSeq	522895	22697952	SRR11652915	522895	50910439
SRP256957	SRX8213969	Amplicon-based sequencing of SARS-CoV-2: VA-DCLS-0106	Amplicon-based sequencing of SARS-CoV-2: VA-DCLS-0106	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	cDNA	SRS6573174		Illumina MiSeq	580327	25154466	SRR11652916	580327	56538784
SRP256957	SRX8213968	Amplicon-based sequencing of SARS-CoV-2: VA-DCLS-0105	Amplicon-based sequencing of SARS-CoV-2: VA-DCLS-0105	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	cDNA	SRS6573172		Illumina MiSeq	529215	23284084	SRR11652917	529215	51556930
SRP256957	SRX8213967	Amplicon-based sequencing of SARS-CoV-2: VA-DCLS-0104	Amplicon-based sequencing of SARS-CoV-2: VA-DCLS-0104	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	cDNA	SRS6573171		Illumina MiSeq	504780	22355569	SRR11652918	504780	49162788
SRP256957	SRX8213966	Amplicon-based sequencing of SARS-CoV-2: VA-DCLS-0101	Amplicon-based sequencing of SARS-CoV-2: VA-DCLS-0101	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	cDNA	SRS6573170		Illumina MiSeq	449816	20521024	SRR11652919	449816	43809304
SRP256957	SRX8213965	Amplicon-based sequencing of SARS-CoV-2: VA-DCLS-0100	Amplicon-based sequencing of SARS-CoV-2: VA-DCLS-0100	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	cDNA	SRS6573169		Illumina MiSeq	403625	17537480	SRR11652920	403625	39259381
SRP256957	SRX8213964	Amplicon-based sequencing of SARS-CoV-2: VA-DCLS-0099	Amplicon-based sequencing of SARS-CoV-2: VA-DCLS-0099	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	cDNA	SRS6573168		Illumina MiSeq	482059	20732657	SRR11652921	482059	46942834
SRP256957	SRX8213963	Amplicon-based sequencing of SARS-CoV-2: VA-DCLS-0098	Amplicon-based sequencing of SARS-CoV-2: VA-DCLS-0098	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	cDNA	SRS6573167		Illumina MiSeq	456315	20255919	SRR11652922	456315	44435315
SRP256957	SRX8213962	Amplicon-based sequencing of SARS-CoV-2: VA-DCLS-0115	Amplicon-based sequencing of SARS-CoV-2: VA-DCLS-0115	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	cDNA	SRS6573166		Illumina MiSeq	375914	16421702	SRR11652923	375914	36639400
SRP256957	SRX8213961	Amplicon-based sequencing of SARS-CoV-2: VA-DCLS-0114	Amplicon-based sequencing of SARS-CoV-2: VA-DCLS-0114	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	cDNA	SRS6573165		Illumina MiSeq	443795	19106822	SRR11652924	443795	43230572
SRP256957	SRX8213960	Amplicon-based sequencing of SARS-CoV-2: VA-DCLS-0112	Amplicon-based sequencing of SARS-CoV-2: VA-DCLS-0112	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	cDNA	SRS6573164		Illumina MiSeq	467211	19912273	SRR11652925	467211	45537951
SRP256957	SRX8213959	Amplicon-based sequencing of SARS-CoV-2: VA-DCLS-0111	Amplicon-based sequencing of SARS-CoV-2: VA-DCLS-0111	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	cDNA	SRS6573163		Illumina MiSeq	553117	24142465	SRR11652926	553117	53904311
SRP256957	SRX8213958	Amplicon-based sequencing of SARS-CoV-2: VA-DCLS-0110	Amplicon-based sequencing of SARS-CoV-2: VA-DCLS-0110	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	cDNA	SRS6573162		Illumina MiSeq	486346	21816938	SRR11652927	486346	47361047
SRP256957	SRX8213957	Amplicon-based sequencing of SARS-CoV-2: VA-DCLS-0109	Amplicon-based sequencing of SARS-CoV-2: VA-DCLS-0109	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	cDNA	SRS6573161		Illumina MiSeq	486904	21305640	SRR11652928	486904	47456785
SRP256957	SRX8213956	Amplicon-based sequencing of SARS-CoV-2: VA-DCLS-0108	Amplicon-based sequencing of SARS-CoV-2: VA-DCLS-0108	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	cDNA	SRS6573159		Illumina MiSeq	440937	20395711	SRR11652929	440937	42951420
